"rownames","Manufacturer","Model","Type","Min.Price","Price","Max.Price","MPG.city","MPG.highway","AirBags","DriveTrain","Cylinders","EngineSize","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Passengers","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","Make","Price.norm","Horsepower.norm","Price.log"
11,"Cadillac","Seville","Midsize",37.5,40.1,42.7,16,25,"Driver & Passenger","Front","8",4.6,295,6000,1985,"No",20,5,204,111,74,44,31,14,3935,"USA","Cadillac Seville",0.6,0.979591836734694,3.69137633431252
12,"Chevrolet","Cavalier","Compact",8.5,13.4,18.3,25,36,"None","Front","4",2.2,110,5200,2380,"Yes",15.2,5,182,101,66,38,25,13,2490,"USA","Chevrolet Cavalier",0.110091743119266,0.224489795918367,2.59525470695687
13,"Chevrolet","Corsica","Compact",11.4,11.4,11.4,25,34,"Driver only","Front","4",2.2,110,5200,2665,"Yes",15.6,5,184,103,68,39,26,14,2785,"USA","Chevrolet Corsica",0.073394495412844,0.224489795918367,2.43361335540045
14,"Chevrolet","Camaro","Sporty",13.4,15.1,16.8,19,28,"Driver only","Rear","6",3.4,144.482352941176,4600,1805,"Yes",15.5,4,193,101,74,43,25,13,3240,"USA","Chevrolet Camaro",0.141284403669725,0.365234093637455,2.71469474382088
15,"Chevrolet","Lumina","Midsize",13.4,15.9,18.4,21,29,"None","Front","4",2.2,110,5200,2595,"No",16.5,6,198,108,71,40,28.5,16,3195,"USA","Chevrolet Lumina",0.155963302752294,0.224489795918367,2.76631910922619
16,"Chevrolet","Lumina_APV","Van",14.7,16.3,18,18,23,"None","Front","6",3.8,170,4800,1690,"No",20,7,178,110,74,44,30.5,NA,3715,"USA","Chevrolet Lumina_APV",0.163302752293578,0.469387755102041,2.79116510781272
17,"Chevrolet","Astro","Van",14.7,16.6,18.6,15,20,"None","4WD","6",4.3,165,4000,1790,"No",27,8,194,111,78,42,33.5,NA,4025,"USA","Chevrolet Astro",0.168807339449541,0.448979591836735,2.8094026953625
18,"Chevrolet","Caprice","Large",18,18.8,19.6,17,26,"Driver only","Rear","8",5,170,4200,1350,"No",23,6,214,116,77,42,29.5,20,3910,"USA","Chevrolet Caprice",0.209174311926606,0.469387755102041,2.9338568698359
19,"Chevrolet","Corvette","Sporty",34.6,38,41.5,17,25,"Driver only","Rear","8",5.7,300,5000,1450,"Yes",20,2,179,96,74,43,NA,NA,3380,"USA","Chevrolet Corvette",0.561467889908257,1,3.63758615972639
20,"Chrylser","Concorde","Large",18.4,18.4,18.4,20,28,"Driver & Passenger","Front","6",3.3,153,5300,1990,"No",18,6,203,113,74,40,31,15,3515,"USA","Chrylser Concorde",0.201834862385321,0.4,2.91235066461494
21,"Chrysler","LeBaron","Compact",14.5,15.8,17.1,23,28,"Driver & Passenger","Front","4",3,141,5000,2090,"No",16,6,183,104,68,41,30.5,14,3085,"USA","Chrysler LeBaron",0.154128440366972,0.351020408163265,2.76000994003292
22,"Chrysler","Imperial","Large",29.5,29.5,29.5,20,26,"Driver only","Front","6",3.3,147,4800,1785,"No",16,6,203,110,69,44,36,17,3570,"USA","Chrysler Imperial",0.405504587155963,0.375510204081633,3.38439026334577
23,"Dodge","Colt","Small",7.9,9.2,10.6,29,33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",0.0330275229357798,0.151020408163265,2.21920348405499
24,"Dodge","Shadow","Small",8.4,11.3,14.2,23,29,"Driver only","Front","4",2.2,93,4800,2595,"Yes",14,5,172,97,67,38,26.5,13,2670,"USA","Dodge Shadow",0.0715596330275229,0.155102040816327,2.42480272571829
25,"Dodge","Spirit","Compact",11.9,13.3,14.7,22,27,"Driver only","Front","4",2.5,100,4800,2535,"Yes",16,6,181,104,68,39,30.5,14,2970,"USA","Dodge Spirit",0.108256880733945,0.183673469387755,2.58776403522771
26,"Dodge","Caravan","Van",13.6,18.4,24.4,17,21,"Driver only","4WD","6",3,142,5000,1970,"No",20,7,175,112,72,42,26.5,NA,3705,"USA","Dodge Caravan",0.201834862385321,0.355102040816327,2.91235066461494
27,"Dodge","Dynasty","Midsize",14.8,15.6,16.4,21,27,"Driver only","Front","4",2.5,100,4800,2465,"No",16,6,192,105,69,42,30.5,16,3080,"USA","Dodge Dynasty",0.15045871559633,0.183673469387755,2.74727091425549
28,"Dodge","Stealth","Sporty",18.5,25.8,33.1,18,24,"Driver only","4WD","6",3,300,6000,2120,"Yes",19.8,4,180,97,72,40,20,11,3805,"USA","Dodge Stealth",0.337614678899083,1,3.25037449192757
29,"Eagle","Summit","Small",7.9,12.2,16.5,29,33,"None","Front","4",1.5,92,6000,2505,"Yes",13.2,5,174,98,66,36,26.5,11,2295,"USA","Eagle Summit",0.0880733944954128,0.151020408163265,2.50143595173921
30,"Eagle","Vision","Large",17.5,19.3,21.2,20,28,"Driver & Passenger","Front","6",3.5,214,5800,1980,"No",18,6,202,113,74,40,30,15,3490,"USA","Eagle Vision",0.218348623853211,0.648979591836735,2.96010509591084
31,"Ford","Festiva","Small",6.9,7.4,7.9,31,33,"None","Front","4",1.3,144.482352941176,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",0,0.365234093637455,2.00148000021012
32,"Ford","Escort","Small",8.4,10.1,11.9,23,30,"None","Front","4",1.8,127,6500,2410,"Yes",13.2,5,171,98,67,36,28,12,2530,"USA","Ford Escort",0.0495412844036697,0.293877551020408,2.31253542384721
33,"Ford","Tempo","Compact",10.4,11.3,12.2,22,27,"None","Front","4",2.3,96,4200,2805,"Yes",15.9,5,177,100,68,39,27.5,13,2690,"USA","Ford Tempo",0.0715596330275229,0.16734693877551,2.42480272571829
34,"Ford","Mustang","Sporty",10.8,15.9,21,22,29,"Driver only","Rear","4",2.3,105,4600,2285,"Yes",15.4,4,180,101,68,40,24,12,2850,"USA","Ford Mustang",0.155963302752294,0.204081632653061,2.76631910922619
35,"Ford","Probe","Sporty",12.8,14,15.2,24,30,"Driver only","Front","4",2,115,5500,2340,"Yes",15.5,4,179,103,70,38,23,18,2710,"USA","Ford Probe",0.121100917431193,0.244897959183673,2.63905732961526
36,"Ford","Aerostar","Small",14.5,19.9,25.3,15,20,"Driver only","4WD","6",3,145,4800,2080,"Yes",21,7,176,119,72,45,30,NA,3735,"USA","Ford Aerostar",0.229357798165138,0.36734693877551,2.99071973173045
37,"Ford","Taurus","Midsize",15.6,20.2,24.8,21,30,"Driver only","Front","6",3,140,4800,1885,"No",16,5,192,106,71,40,27.5,18,3325,"USA","Ford Taurus",0.234862385321101,0.346938775510204,3.00568260440716
38,"Ford","Crown_Victoria","Large",20.1,20.9,21.7,18,26,"Driver only","Rear","8",4.6,190,4200,1415,"No",20,6,212,114,78,43,30,21,3950,"USA","Ford Crown_Victoria",0.247706422018349,0.551020408163265,3.03974915897077
39,"Geo","Metro","Small",6.7,8.4,10,46,50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",0.018348623853211,0,2.12823170584927
40,"Geo","Storm","Sporty",11.5,12.5,13.5,30,36,"Driver only","Front","4",1.6,90,5400,3250,"Yes",12.4,4,164,97,67,37,24.5,11,2475,"non-USA","Geo Storm",0.0935779816513761,0.142857142857143,2.52572864430826
41,"Honda","Prelude","Sporty",17,19.8,22.7,24,31,"Driver & Passenger","Front","4",2.3,160,5800,2855,"Yes",15.9,4,175,100,70,39,23.5,8,2865,"non-USA","Honda Prelude",0.227522935779817,0.428571428571429,2.98568193770049
42,"Honda","Civic","Small",8.4,18.4,15.8,42,46,"Driver only","Front","4",1.5,144.482352941176,5900,2650,"Yes",11.9,4,173,103,67,36,28,12,2350,"non-USA","Honda Civic",0.201834862385321,0.365234093637455,2.91235066461494
43,"Honda","Accord","Compact",13.8,17.5,21.2,24,31,"Driver & Passenger","Front","4",2.2,144.482352941176,5600,2610,"Yes",17,4,185,107,67,41,28,14,3040,"non-USA","Honda Accord",0.185321100917431,0.365234093637455,2.86220088092947
44,"Hyundai","Excel","Small",6.8,8,9.2,29,33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",0.0110091743119266,0.106122448979592,2.07944154167984
45,"Hyundai","Elantra","Small",9,10,11,22,29,"None","Front","4",1.8,124,6000,2745,"Yes",13.7,5,172,98,66,36,28,12,2620,"non-USA","Hyundai Elantra",0.0477064220183486,0.281632653061224,2.30258509299405
46,"Hyundai","Scoupe","Sporty",9.1,10,11,26,34,"None","Front","4",1.5,92,5550,2540,"Yes",11.9,4,166,94,64,34,23.5,9,2285,"non-USA","Hyundai Scoupe",0.0477064220183486,0.151020408163265,2.30258509299405
47,"Hyundai","Sonata","Midsize",12.4,13.9,15.3,20,27,"None","Front","4",2,128,6000,2335,"Yes",17.2,5,184,104,69,41,31,14,2885,"non-USA","Hyundai Sonata",0.119266055045872,0.297959183673469,2.63188884013665
48,"Infiniti","Q45","Midsize",45.4,47.9,50.4,17,22,"Driver only","Rear","8",4.5,278,6000,1955,"No",22.5,5,200,113,72,42,29,15,4000,"non-USA","Infiniti Q45",0.743119266055046,0.910204081632653,3.86911550441687
49,"Lexus","ES300","Midsize",27.5,28,28.4,18,24,"Driver only","Front","6",3,185,5200,2325,"Yes",18.5,5,188,103,70,40,27.5,14,3510,"non-USA","Lexus ES300",0.377981651376147,0.530612244897959,3.3322045101752
50,"Lexus","SC300","Midsize",34.7,35.2,35.6,18,23,"Driver & Passenger","Rear","6",3,144.482352941176,6000,2510,"Yes",20.6,4,191,106,71,39,25,9,3515,"non-USA","Lexus SC300",0.510091743119266,0.365234093637455,3.56104608260405
51,"Lincoln","Continental","Midsize",33.3,34.3,35.3,17,26,"Driver & Passenger","Front","6",3.8,144.482352941176,4400,1835,"No",18.4,6,205,109,73,42,30,19,3695,"USA","Lincoln Continental",0.493577981651376,0.365234093637455,3.53514535417189
52,"Lincoln","Town_Car","Large",34.4,36.1,37.8,18,26,"Driver & Passenger","Rear","8",4.6,210,4600,1840,"No",20,6,219,117,77,45,31.5,22,4055,"USA","Lincoln Town_Car",0.526605504587156,0.63265306122449,3.58629286533884
53,"Mazda","323","Small",7.4,8.3,9.1,29,37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",0.0165137614678899,0.110204081632653,2.11625551480255
54,"Mazda","Protege","Small",10.9,11.6,12.3,28,36,"None","Front","4",1.8,103,5500,2220,"Yes",14.5,5,172,98,66,36,26.5,13,2440,"non-USA","Mazda Protege",0.0770642201834862,0.195918367346939,2.45100509811232
55,"Mazda","626","Compact",14.3,16.5,18.7,26,34,"Driver only","Front","4",2.5,164,5600,2505,"Yes",15.5,5,184,103,69,40,29.5,14,2970,"non-USA","Mazda 626",0.16697247706422,0.444897959183673,2.80336038090653
56,"Mazda","MPV","Van",16.6,19.1,21.7,18,24,"None","4WD","6",3,155,5000,2240,"No",19.6,7,190,110,72,39,27.5,NA,3735,"non-USA","Mazda MPV",0.214678899082569,0.408163265306122,2.94968833505258
57,"Mazda","RX-7","Sporty",32.5,32.5,32.5,17,25,"Driver only","Rear","rotary",1.3,255,6500,2325,"Yes",20,2,169,96,69,37,NA,NA,2895,"non-USA","Mazda RX-7",0.460550458715596,0.816326530612245,3.48124008933569
58,"Mercedes-Benz","190E","Compact",29,31.9,34.9,20,29,"Driver only","Rear","4",2.3,130,5100,2425,"Yes",14.5,5,175,105,67,34,26,12,2920,"non-USA","Mercedes-Benz 190E",0.44954128440367,0.306122448979592,3.4626060097908
59,"Mercedes-Benz","300E","Midsize",43.8,61.9,80,19,25,"Driver & Passenger","Rear","6",3.2,217,5500,2220,"No",18.5,5,187,110,69,37,27,15,3525,"non-USA","Mercedes-Benz 300E",1,0.661224489795918,4.12552017969055
60,"Mercury","Capri","Sporty",13.3,14.1,15,23,26,"Driver only","Front","4",1.6,100,5750,2475,"Yes",11.1,4,166,95,65,36,19,6,2450,"USA","Mercury Capri",0.122935779816514,0.183673469387755,2.64617479738412
61,"Mercury","Cougar","Midsize",14.9,14.9,14.9,19,26,"None","Rear","6",3.8,140,3800,1730,"No",18,5,199,113,73,38,28,15,3610,"USA","Mercury Cougar",0.137614678899083,0.346938775510204,2.70136121295141
62,"Mitsubishi","Mirage","Small",7.7,10.3,12.9,29,33,"None","Front","4",1.5,92,6000,2505,"Yes",13.2,5,172,98,67,36,26,11,2295,"non-USA","Mitsubishi Mirage",0.0532110091743119,0.151020408163265,2.33214389523559
63,"Mitsubishi","Diamante","Midsize",22.4,26.1,29.9,18,24,"Driver only","Front","6",3,202,6000,2210,"No",19,5,190,107,70,43,27.5,14,3730,"non-USA","Mitsubishi Diamante",0.343119266055046,0.6,3.26193531432865
64,"Nissan","Sentra","Small",8.7,11.8,14.9,29,33,"Driver only","Front","4",1.6,110,6000,2435,"Yes",13.2,5,170,96,66,33,26,12,2545,"non-USA","Nissan Sentra",0.0807339449541284,0.224489795918367,2.46809953147162
65,"Nissan","Altima","Compact",13,15.7,18.3,24,30,"Driver only","Front","4",2.4,150,5600,2130,"Yes",15.9,5,181,103,67,40,28.5,14,3050,"non-USA","Nissan Altima",0.152293577981651,0.387755102040816,2.75366071235426
66,"Nissan","Quest","Van",16.7,19.1,21.5,17,23,"None","Front","6",3,151,4800,2065,"No",20,7,190,112,74,41,27,NA,4100,"non-USA","Nissan Quest",0.214678899082569,0.391836734693878,2.94968833505258
67,"Nissan","Maxima","Midsize",21,21.5,22,21,26,"Driver only","Front","6",3,144.482352941176,5200,2045,"No",18.5,5,188,104,69,41,28.5,14,3200,"non-USA","Nissan Maxima",0.258715596330275,0.365234093637455,3.06805293513362
68,"Oldsmobile","Achieva","Compact",13,13.5,14,24,31,"None","Front","4",2.3,155,6000,2380,"No",15.2,5,188,103,67,39,28,14,2910,"USA","Oldsmobile Achieva",0.111926605504587,0.408163265306122,2.60268968544438
69,"Oldsmobile","Cutlass_Ciera","Midsize",14.2,16.3,18.4,23,31,"Driver only","Front","4",2.2,110,5200,2565,"No",16.5,5,190,105,70,42,28,16,2890,"USA","Oldsmobile Cutlass_Ciera",0.163302752293578,0.224489795918367,2.79116510781272
70,"Oldsmobile","Silhouette","Van",19.5,19.5,19.5,18,23,"None","Front","6",3.8,170,4800,1690,"No",20,7,194,110,74,44,30.5,NA,3715,"USA","Oldsmobile Silhouette",0.222018348623853,0.469387755102041,2.9704144655697
71,"Oldsmobile","Eighty-Eight","Large",19.5,20.7,21.9,19,28,"Driver only","Front","6",3.8,170,4800,1570,"No",18,6,201,111,74,42,31.5,17,3470,"USA","Oldsmobile Eighty-Eight",0.244036697247706,0.469387755102041,3.03013370027132
72,"Plymouth","Laser","Sporty",11.4,18.4,17.4,23,30,"None","4WD","4",1.8,92,5000,2360,"Yes",15.9,4,173,97,67,39,24.5,8,2640,"USA","Plymouth Laser",0.201834862385321,0.151020408163265,2.91235066461494
73,"Pontiac","LeMans","Small",8.2,9,9.9,31,41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",0.0293577981651376,0.0775510204081633,2.19722457733622
74,"Pontiac","Sunbird","Compact",9.4,11.1,12.8,23,31,"None","Front","4",2,110,5200,2665,"Yes",15.2,5,181,101,66,39,25,13,2575,"USA","Pontiac Sunbird",0.0678899082568807,0.224489795918367,2.40694510831829
75,"Pontiac","Firebird","Sporty",14,17.7,21.4,19,28,"Driver & Passenger","Rear","6",3.4,160,4600,1805,"Yes",15.5,4,196,101,75,43,25,13,3240,"USA","Pontiac Firebird",0.188990825688073,0.428571428571429,2.87356463957978
76,"Pontiac","Grand_Prix","Midsize",15.4,18.5,21.6,19,27,"None","Front","6",3.4,200,5000,1890,"Yes",16.5,5,195,108,72,41,28.5,16,3450,"USA","Pontiac Grand_Prix",0.203669724770642,0.591836734693878,2.91777073208428
77,"Pontiac","Bonneville","Large",19.4,24.4,29.4,19,28,"Driver & Passenger","Front","6",3.8,170,4800,1565,"No",18,6,177,111,74,43,30.5,18,3495,"USA","Pontiac Bonneville",0.311926605504587,0.469387755102041,3.19458313229916
78,"Saab","900","Compact",20.3,28.7,37.1,20,26,"Driver only","Front","4",2.1,140,6000,2910,"Yes",18,5,184,99,67,37,26.5,14,2775,"non-USA","Saab 900",0.390825688073394,0.346938775510204,3.35689712276558
79,"Saturn","SL","Small",9.2,11.1,12.9,28,38,"Driver only","Front","4",1.9,144.482352941176,5000,2145,"Yes",12.8,5,176,102,68,40,26.5,12,2495,"USA","Saturn SL",0.0678899082568807,0.365234093637455,2.40694510831829
80,"Subaru","Justy","Small",7.3,8.4,9.5,33,37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",0.018348623853211,0.073469387755102,2.12823170584927
81,"Subaru","Loyale","Small",10.5,10.9,11.3,25,30,"None","4WD","4",1.8,90,5200,3375,"Yes",15.9,5,175,97,65,35,27.5,15,2490,"non-USA","Subaru Loyale",0.0642201834862385,0.142857142857143,2.3887627892351
82,"Subaru","Legacy","Compact",16.3,19.5,22.7,23,30,"Driver only","4WD","4",2.2,130,5600,2330,"Yes",15.9,5,179,102,67,37,27,14,3085,"non-USA","Subaru Legacy",0.222018348623853,0.306122448979592,2.9704144655697
83,"Suzuki","Swift","Small",7.3,8.6,10,39,43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",0.0220183486238532,0.0612244897959184,2.15176220325946
84,"Toyota","Tercel","Small",7.8,9.8,11.8,32,37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",0.0440366972477064,0.110204081632653,2.28238238567653
85,"Toyota","Celica","Sporty",14.2,18.4,22.6,25,32,"Driver only","Front","4",2.2,135,5400,2405,"Yes",15.9,4,174,99,69,39,23,13,2950,"non-USA","Toyota Celica",0.201834862385321,0.326530612244898,2.91235066461494
86,"Toyota","Camry","Midsize",15.2,18.2,21.2,22,29,"Driver only","Front","4",2.2,130,5400,2340,"Yes",18.5,5,188,103,70,38,28.5,15,3030,"non-USA","Toyota Camry",0.198165137614679,0.306122448979592,2.90142159408275
87,"Toyota","Previa","Van",18.9,22.7,26.6,18,22,"Driver only","4WD","4",2.4,138,5000,2515,"Yes",19.8,7,187,113,71,41,35,NA,3785,"non-USA","Toyota Previa",0.280733944954128,0.338775510204082,3.12236492448736
88,"Volkswagen","Fox","Small",8.7,9.1,9.5,25,33,"None","Front","4",1.8,81,5500,2550,"Yes",12.4,4,163,93,63,34,26,10,2240,"non-USA","Volkswagen Fox",0.0311926605504587,0.106122448979592,2.2082744135228
89,"Volkswagen","Eurovan","Van",16.6,19.7,22.7,17,21,"None","Front","5",2.5,109,4500,2915,"Yes",21.1,7,187,115,72,38,34,NA,3960,"non-USA","Volkswagen Eurovan",0.225688073394495,0.220408163265306,2.98061863574394
90,"Volkswagen","Passat","Compact",17.6,20,22.4,21,30,"Driver only","Front","4",2,134,5800,2685,"Yes",18.5,5,180,103,67,35,31.5,14,2985,"non-USA","Volkswagen Passat",0.231192660550459,0.322448979591837,2.99573227355399
91,"Volkswagen","Corrado","Sporty",22.9,23.3,23.7,18,25,"None","Front","6",2.8,178,5800,2385,"Yes",18.5,4,159,97,66,36,26,15,2810,"non-USA","Volkswagen Corrado",0.291743119266055,0.502040816326531,3.14845336057165
92,"Volvo","240","Compact",21.8,22.7,23.5,21,28,"Driver only","Rear","4",2.3,114,5400,2215,"Yes",15.8,5,190,104,67,37,29.5,14,2985,"non-USA","Volvo 240",0.280733944954128,0.240816326530612,3.12236492448736
93,"Volvo","850","Midsize",24.8,18.4,28.5,20,28,"Driver & Passenger","Front","5",2.4,168,6200,2310,"Yes",19.3,5,184,105,69,38,30,15,3245,"non-USA","Volvo 850",0.201834862385321,0.461224489795918,2.91235066461494
